Model,Accuracy,Precision,Recall,F1_Score
Balanced Logistic Regression,0.8314606741573034,0.7794117647058824,0.7794117647058824,0.7794117647058824
Logistic Regression,0.8146067415730337,0.7966101694915254,0.6911764705882353,0.7401574803149606
Tuned Logistic Regression,0.8146067415730337,0.7966101694915254,0.6911764705882353,0.7401574803149606
Random Forest,0.7921348314606742,0.7719298245614035,0.6470588235294118,0.704
Decision Tree,0.7921348314606742,0.8163265306122449,0.5882352941176471,0.6837606837606838
